OrderID,OrderDate,ShipDate
US-2018-164147,2018-03-20,2018-02-05
CA-2017-145583,2018-03-21,2017-10-19
CA-2017-145583,2018-03-22,2017-10-19
CA-2017-145583,2018-03-23,2017-10-19
CA-2017-145583,2018-03-24,2017-10-19
CA-2017-145583,2018-03-25,2017-10-19
CA-2017-145583,2018-03-26,2017-10-19
CA-2017-145583,2018-03-27,2017-10-19
CA-2017-110366,2018-03-28,2017-09-07
CA-2018-106180,2018-03-29,2018-09-23
CA-2018-106180,2018-03-30,2018-09-23
CA-2018-106180,2018-03-31,2018-09-23
CA-2018-155376,2018-04-01,2018-12-27
CA-2016-110744,2018-04-02,2016-09-12
CA-2015-110072,2018-04-03,2015-10-28
CA-2017-114489,2018-04-04,2017-12-09
CA-2017-114489,2018-04-05,2017-12-09
CA-2017-114489,2018-04-06,2017-12-09
CA-2017-114489,2018-04-07,2017-12-09
CA-2017-158834,2018-04-08,2017-03-16
CA-2017-158834,2018-04-09,2017-03-16
CA-2016-124919,2018-04-10,2016-06-02
CA-2016-124919,2018-04-11,2016-06-02
CA-2016-124919,2018-04-12,2016-06-02
CA-2016-118948,2018-04-13,2016-06-03
CA-2015-104269,2018-04-14,2015-03-06
CA-2017-114104,2018-04-15,2017-11-24
CA-2017-114104,2018-04-16,2017-11-24
CA-2017-162733,2018-04-17,2017-05-12
CA-2016-119697,2018-04-18,2016-12-31
CA-2017-154508,2018-04-19,2017-11-20
CA-2017-113817,2018-04-20,2017-11-11
CA-2015-139892,2018-04-21,2015-09-12
CA-2015-139892,2018-04-22,2015-09-12
CA-2015-139892,2018-04-23,2015-09-12
CA-2015-139892,2018-04-24,2015-09-12
CA-2015-139892,2018-04-25,2015-09-12
CA-2015-139892,2018-04-26,2015-09-12
CA-2015-139892,2018-04-27,2015-09-12
CA-2015-118962,2018-04-28,2015-08-09
CA-2015-118962,2018-04-29,2015-08-09
CA-2015-118962,2018-04-30,2015-08-09
US-2015-100853,2018-05-01,2015-09-19
US-2015-100853,2018-05-02,2015-09-19
US-2018-152366,2018-05-03,2018-04-25
US-2016-101511,2018-05-04,2016-11-23
US-2016-101511,2018-05-05,2016-11-23
CA-2016-137225,2018-05-06,2016-12-19
CA-2015-166191,2018-05-07,2015-12-09
CA-2015-166191,2018-05-08,2015-12-09
CA-2015-158274,2018-05-09,2015-11-24
CA-2015-158274,2018-05-10,2015-11-24
CA-2015-158274,2018-05-11,2015-11-24
CA-2017-105018,2018-05-12,2017-12-02
CA-2015-123260,2018-05-13,2015-08-30
CA-2017-157000,2018-05-14,2017-07-22
CA-2017-157000,2018-05-15,2017-07-22
CA-2016-102281,2018-05-16,2016-10-14
CA-2016-102281,2018-05-17,2016-10-14
CA-2016-102281,2018-05-18,2016-10-14
CA-2016-102281,2018-05-19,2016-10-14
CA-2016-102281,2018-05-20,2016-10-14
CA-2016-131457,2018-05-21,2016-11-06
CA-2015-140004,2018-05-22,2015-03-25
CA-2015-140004,2018-05-23,2015-03-25
CA-2018-107720,2018-05-24,2018-11-13
US-2018-124303,2018-05-25,2018-07-13
US-2018-124303,2018-05-26,2018-07-13
CA-2018-105074,2018-05-27,2018-06-29
CA-2015-133690,2018-05-28,2015-08-05
CA-2015-133690,2018-05-29,2015-08-05
US-2018-116701,2018-05-30,2018-12-21
CA-2018-126382,2018-05-31,2018-06-07
CA-2018-108329,2018-06-01,2018-12-14
CA-2018-135860,2018-06-02,2018-12-07
CA-2018-135860,2018-06-03,2018-12-07
CA-2018-135860,2018-06-04,2018-12-07
CA-2018-135860,2018-06-05,2018-12-07
CA-2018-135860,2018-06-06,2018-12-07
CA-2016-101007,2018-06-07,2016-02-13
CA-2016-146262,2018-06-08,2016-01-09
CA-2016-146262,2018-06-09,2016-01-09
CA-2016-146262,2018-06-10,2016-01-09
CA-2016-146262,2018-06-11,2016-01-09
CA-2016-146262,2018-06-12,2016-01-09
CA-2017-130162,2018-06-13,2017-11-01
CA-2017-130162,2018-06-14,2017-11-01
CA-2016-169397,2018-06-15,2016-12-27
CA-2016-169397,2018-06-16,2016-12-27
CA-2016-169397,2018-06-17,2016-12-27
CA-2016-169397,2018-06-18,2016-12-27
CA-2016-169397,2018-06-19,2016-12-27
CA-2016-169397,2018-06-20,2016-12-27
CA-2016-163055,2018-06-21,2016-08-16
CA-2016-163055,2018-06-22,2016-08-16
CA-2016-163055,2018-06-23,2016-08-16
US-2016-145436,2018-06-24,2016-03-04
US-2016-145436,2018-06-25,2016-03-04
US-2015-156216,2018-06-26,2015-09-17
US-2018-100930,2018-06-27,2018-04-12
US-2018-100930,2018-06-28,2018-04-12
US-2018-100930,2018-06-29,2018-04-12
US-2018-100930,2018-06-30,2018-04-12
US-2018-100930,2018-07-01,2018-04-12
CA-2018-160514,2018-07-02,2018-11-16
CA-2017-157749,2018-07-03,2017-06-09
CA-2017-157749,2018-07-04,2017-06-09
CA-2017-157749,2018-07-05,2017-06-09
CA-2017-157749,2018-07-06,2017-06-09
CA-2017-157749,2018-07-07,2017-06-09
CA-2017-157749,2018-07-08,2017-06-09
CA-2017-157749,2018-07-09,2017-06-09
CA-2015-131926,2018-07-10,2015-06-06
CA-2015-131926,2018-07-11,2015-06-06
CA-2015-131926,2018-07-12,2015-06-06
CA-2015-131926,2018-07-13,2015-06-06
CA-2015-131926,2018-07-14,2015-06-06
CA-2017-154739,2018-07-15,2017-12-15
CA-2017-145625,2018-07-16,2017-09-17
CA-2017-145625,2018-07-17,2017-09-17
CA-2017-146941,2018-07-18,2017-12-13
CA-2017-146941,2018-07-19,2017-12-13
US-2016-159982,2018-07-20,2016-12-04
US-2016-159982,2018-07-21,2016-12-04
US-2016-159982,2018-07-22,2016-12-04
US-2016-159982,2018-07-23,2016-12-04
CA-2018-163139,2018-07-24,2018-12-03
CA-2018-163139,2018-07-25,2018-12-03
CA-2018-163139,2018-07-26,2018-12-03
US-2018-155299,2018-07-27,2018-06-12
US-2015-106992,2018-07-28,2015-09-21
US-2015-106992,2018-07-29,2015-09-21
CA-2017-125318,2018-07-30,2017-06-13
CA-2016-155040,2018-07-31,2016-11-15
CA-2018-136826,2018-08-01,2018-06-20
CA-2017-111010,2018-08-02,2017-01-28
US-2018-145366,2018-08-03,2018-12-13
US-2018-145366,2018-08-04,2018-12-13
CA-2018-163979,2018-08-05,2019-01-02
CA-2016-155334,2018-08-06,2016-07-31
CA-2016-155334,2018-08-07,2016-07-31
CA-2016-155334,2018-08-08,2016-07-31
CA-2018-118136,2018-08-09,2018-09-17
CA-2018-118136,2018-08-10,2018-09-17
CA-2018-132976,2018-08-11,2018-10-17
CA-2018-132976,2018-08-12,2018-10-17
CA-2018-132976,2018-08-13,2018-10-17
CA-2018-132976,2018-08-14,2018-10-17
US-2016-161991,2018-08-15,2016-09-28
US-2016-161991,2018-08-16,2016-09-28
CA-2016-130890,2018-08-17,2016-11-06
CA-2016-130883,2018-08-18,2016-10-02
CA-2016-130883,2018-08-19,2016-10-02
CA-2016-130883,2018-08-20,2016-10-02
CA-2017-112697,2018-08-21,2017-12-20
CA-2017-112697,2018-08-22,2017-12-20
CA-2017-112697,2018-08-23,2017-12-20
CA-2017-110772,2018-08-24,2017-11-24
CA-2017-110772,2018-08-25,2017-11-24
CA-2017-110772,2018-08-26,2017-11-24
CA-2017-110772,2018-08-27,2017-11-24
CA-2015-111451,2018-08-28,2015-12-28
CA-2015-111451,2018-08-29,2015-12-28
CA-2015-111451,2018-08-30,2015-12-28
CA-2015-111451,2018-08-31,2015-12-28
CA-2015-111451,2018-09-01,2015-12-28
CA-2017-142545,2018-09-02,2017-11-03
CA-2017-142545,2018-09-03,2017-11-03
CA-2017-142545,2018-09-04,2017-11-03
CA-2017-142545,2018-09-05,2017-11-03
CA-2017-142545,2018-09-06,2017-11-03
US-2018-152380,2018-09-07,2018-11-23
CA-2016-144253,2018-09-08,2016-05-09
CA-2015-130960,2018-09-09,2016-01-04
CA-2015-111003,2018-09-10,2015-06-06
CA-2015-111003,2018-09-11,2015-06-06
CA-2018-126774,2018-09-12,2018-04-17
CA-2017-142902,2018-09-13,2017-09-14
CA-2017-142902,2018-09-14,2017-09-14
CA-2017-142902,2018-09-15,2017-09-14
CA-2017-142902,2018-09-16,2017-09-14
CA-2015-120887,2018-09-17,2015-10-03
CA-2015-167850,2018-09-18,2015-08-16
CA-2015-167850,2018-09-19,2015-08-16
CA-2015-164259,2018-09-20,2015-12-30
CA-2015-164973,2018-09-21,2015-11-09
CA-2015-164973,2018-09-22,2015-11-09
CA-2015-164973,2018-09-23,2015-11-09
CA-2015-164973,2018-09-24,2015-11-09
CA-2015-164973,2018-09-25,2015-11-09
CA-2015-156601,2018-09-26,2015-09-24
CA-2017-162138,2018-09-27,2017-04-27
CA-2017-162138,2018-09-28,2017-04-27
CA-2018-153339,2018-09-29,2018-11-05
US-2017-141544,2018-09-30,2017-09-01
US-2017-141544,2018-10-01,2017-09-01
US-2017-141544,2018-10-02,2017-09-01
US-2017-141544,2018-10-03,2017-09-01
US-2017-141544,2018-10-04,2017-09-01
US-2017-150147,2018-10-05,2017-04-29
US-2017-150147,2018-10-06,2017-04-29
US-2017-150147,2018-10-07,2017-04-29
CA-2016-137946,2018-10-08,2016-09-04
CA-2016-137946,2018-10-09,2016-09-04
CA-2016-137946,2018-10-10,2016-09-04
CA-2015-129924,2018-10-11,2015-07-17
CA-2015-129924,2018-10-12,2015-07-17
CA-2016-128167,2018-10-13,2016-06-26
CA-2015-122336,2018-10-14,2015-04-17
CA-2015-122336,2018-10-15,2015-04-17
CA-2015-122336,2018-10-16,2015-04-17
CA-2015-122336,2018-10-17,2015-04-17
US-2016-120712,2018-10-18,2016-12-24
CA-2018-169901,2018-10-19,2018-06-19
CA-2018-134306,2018-10-20,2018-07-12
CA-2018-134306,2018-10-21,2018-07-12
CA-2018-134306,2018-10-22,2018-07-12
CA-2017-129714,2018-10-23,2017-09-03
CA-2017-129714,2018-10-24,2017-09-03
CA-2017-129714,2018-10-25,2017-09-03
CA-2017-129714,2018-10-26,2017-09-03
CA-2017-129714,2018-10-27,2017-09-03
CA-2017-138520,2018-10-28,2017-04-13
CA-2017-138520,2018-10-29,2017-04-13
CA-2017-138520,2018-10-30,2017-04-13
CA-2017-138520,2018-10-31,2017-04-13
CA-2017-130001,2018-11-01,2017-04-28
CA-2018-155698,2018-11-02,2018-03-11
CA-2018-155698,2018-11-03,2018-03-11
CA-2018-144904,2018-11-04,2018-10-01
CA-2018-144904,2018-11-05,2018-10-01
CA-2018-144904,2018-11-06,2018-10-01
CA-2018-144904,2018-11-07,2018-10-01
CA-2015-123344,2018-11-08,2015-09-29
CA-2017-155516,2018-11-09,2017-10-21
CA-2017-155516,2018-11-10,2017-10-21
CA-2017-155516,2018-11-11,2017-10-21
CA-2017-155516,2018-11-12,2017-10-21
CA-2018-104745,2018-11-13,2018-06-04
CA-2018-104745,2018-11-14,2018-06-04
US-2015-119137,2018-11-15,2015-07-27
US-2015-119137,2018-11-16,2015-07-27
US-2015-119137,2018-11-17,2015-07-27
US-2015-119137,2018-11-18,2015-07-27
US-2017-134656,2018-11-19,2017-10-01
US-2018-134481,2018-11-20,2018-09-01
CA-2016-130792,2018-11-21,2016-05-05
CA-2016-130792,2018-11-22,2016-05-05
CA-2016-130792,2018-11-23,2016-05-05
CA-2017-134775,2018-11-24,2017-10-29
CA-2017-134775,2018-11-25,2017-10-29
CA-2016-125395,2018-11-26,2016-06-29
US-2016-168935,2018-11-27,2016-12-02
US-2016-168935,2018-11-28,2016-12-02
CA-2016-122756,2018-11-29,2016-12-07
CA-2016-122756,2018-11-30,2016-12-07
CA-2015-115973,2018-12-01,2015-11-26
CA-2018-101798,2018-12-02,2018-12-15
CA-2018-101798,2018-12-03,2018-12-15
US-2015-135972,2018-12-04,2015-09-23
US-2015-135972,2018-12-05,2015-09-23
US-2015-134971,2018-12-06,2015-06-10
CA-2018-102946,2018-12-07,2018-07-05
CA-2018-165603,2018-12-08,2018-10-19
CA-2018-165603,2018-12-09,2018-10-19
CA-2016-122259,2018-12-10,2016-11-04
CA-2017-108987,2018-12-11,2017-09-10
CA-2017-108987,2018-12-12,2017-09-10
CA-2017-108987,2018-12-13,2017-09-10
CA-2017-108987,2018-12-14,2017-09-10
CA-2015-113166,2018-12-15,2015-12-26
CA-2015-155208,2018-12-16,2015-04-20
CA-2018-117933,2018-12-17,2018-12-29
CA-2018-117457,2018-12-18,2018-12-12
CA-2018-117457,2018-12-19,2018-12-12
CA-2018-117457,2018-12-20,2018-12-12
CA-2018-117457,2018-12-21,2018-12-12
CA-2018-117457,2018-12-22,2018-12-12
CA-2018-117457,2018-12-23,2018-12-12
CA-2018-117457,2018-12-24,2018-12-12
CA-2018-117457,2018-12-25,2018-12-12
CA-2018-117457,2018-12-26,2018-12-12
CA-2018-142636,2018-12-27,2018-11-07
CA-2018-142636,2018-12-28,2018-11-07
CA-2018-122105,2018-12-29,2018-06-28
CA-2017-148796,2018-12-30,2017-04-18
CA-2018-154816,2018-12-31,2018-11-10
CA-2018-110478,2019-01-01,2018-03-09
CA-2018-110478,2019-01-02,2018-03-09
CA-2015-142048,2019-01-03,2015-06-25
CA-2018-125388,2019-01-04,2018-10-23
CA-2018-125388,2019-01-05,2018-10-23
CA-2018-155705,2019-01-06,2018-08-23
CA-2018-149160,2019-01-07,2018-11-26
CA-2018-149160,2019-01-08,2018-11-26
CA-2015-101476,2019-01-09,2015-09-13
CA-2018-152275,2019-01-10,2018-10-08
US-2017-123750,2019-01-11,2017-04-21
US-2017-123750,2019-01-12,2017-04-21
US-2017-123750,2019-01-13,2017-04-21
US-2017-123750,2019-01-14,2017-04-21
CA-2017-127369,2019-01-15,2017-06-07
US-2015-150574,2019-01-16,2015-12-25
US-2015-150574,2019-01-17,2015-12-25
CA-2017-147375,2019-01-18,2017-06-14
CA-2017-147375,2019-01-19,2017-06-14
CA-2018-130043,2019-01-20,2018-09-19
CA-2018-157252,2019-01-21,2018-01-23
CA-2017-115756,2019-01-22,2017-09-07
CA-2017-115756,2019-01-23,2017-09-07
CA-2017-115756,2019-01-24,2017-09-07
CA-2017-115756,2019-01-25,2017-09-07
CA-2017-115756,2019-01-26,2017-09-07
CA-2017-115756,2019-01-27,2017-09-07
CA-2018-154214,2019-01-28,2018-03-25
CA-2017-166674,2019-01-29,2017-04-03
CA-2017-166674,2019-01-30,2017-04-03
CA-2017-166674,2019-01-31,2017-04-03
CA-2017-166674,2019-02-01,2017-04-03
CA-2017-166674,2019-02-02,2017-04-03
CA-2017-166674,2019-02-03,2017-04-03
CA-2018-147277,2019-02-04,2018-10-24
CA-2018-147277,2019-02-05,2018-10-24
CA-2017-100153,2019-02-06,2017-12-17
US-2015-110674,2019-02-07,2015-02-18
US-2017-157945,2019-02-08,2017-10-01
US-2017-157945,2019-02-09,2017-10-01
CA-2016-109638,2019-02-10,2016-12-22
CA-2016-109638,2019-02-11,2016-12-22
CA-2016-109638,2019-02-12,2016-12-22
CA-2017-109869,2019-02-13,2017-04-29
CA-2017-109869,2019-02-14,2017-04-29
CA-2017-109869,2019-02-15,2017-04-29
CA-2017-109869,2019-02-16,2017-04-29
CA-2017-109869,2019-02-17,2017-04-29
US-2016-101399,2019-02-18,2016-01-24
CA-2018-154907,2019-02-19,2018-04-04
US-2017-100419,2019-02-20,2017-12-20
CA-2016-154144,2019-02-21,2016-12-24
CA-2015-144666,2019-02-22,2015-11-11
CA-2015-144666,2019-02-23,2015-11-11
CA-2015-144666,2019-02-24,2015-11-11
CA-2015-144666,2019-02-25,2015-11-11
CA-2015-144666,2019-02-26,2015-11-11
CA-2015-144666,2019-02-27,2015-11-11
CA-2017-103891,2019-02-28,2017-07-19
CA-2017-152632,2019-03-01,2017-11-02
CA-2017-100790,2019-03-02,2017-07-02
CA-2017-100790,2019-03-03,2017-07-02
CA-2015-134677,2019-03-04,2015-10-10
CA-2015-127691,2019-03-05,2015-07-27
CA-2015-127691,2019-03-06,2015-07-27
CA-2018-140963,2019-03-07,2018-06-13
CA-2018-140963,2019-03-08,2018-06-13
CA-2018-140963,2019-03-09,2018-06-13
CA-2015-154627,2019-03-10,2015-10-31
CA-2015-133753,2019-03-11,2015-06-13
CA-2015-133753,2019-03-12,2015-06-13
CA-2015-133753,2019-03-13,2015-06-13
CA-2015-113362,2019-03-14,2015-09-19
CA-2015-113362,2019-03-15,2015-09-19
CA-2017-169166,2019-03-16,2017-05-14
US-2017-120929,2019-03-17,2017-03-21
CA-2016-134782,2019-03-18,2016-12-31
CA-2017-126158,2019-03-19,2017-07-31
CA-2017-126158,2019-03-20,2017-07-31
CA-2017-126158,2019-03-21,2017-07-31
CA-2017-126158,2019-03-22,2017-07-31
US-2017-105578,2019-03-23,2017-06-04
US-2017-105578,2019-03-24,2017-06-04
US-2017-105578,2019-03-25,2017-06-04
US-2017-105578,2019-03-26,2017-06-04
US-2017-105578,2019-03-27,2017-06-04
CA-2018-134978,2019-03-28,2018-11-15
CA-2016-145352,2019-03-29,2016-03-22
CA-2016-145352,2019-03-30,2016-03-22
CA-2016-145352,2019-03-31,2016-03-22
CA-2016-145352,2019-04-01,2016-03-22
CA-2018-135307,2019-04-02,2018-11-27
CA-2018-135307,2019-04-03,2018-11-27
CA-2017-106341,2019-04-04,2017-10-23
CA-2018-163405,2019-04-05,2018-12-25
CA-2018-163405,2019-04-06,2018-12-25
CA-2018-127432,2019-04-07,2018-01-27
CA-2018-127432,2019-04-08,2018-01-27
CA-2018-127432,2019-04-09,2018-01-27
CA-2018-127432,2019-04-10,2018-01-27
CA-2016-157812,2019-04-11,2016-03-26
CA-2016-157812,2019-04-12,2016-03-26
CA-2016-157812,2019-04-13,2016-03-26
CA-2018-145142,2019-04-14,2018-01-25
US-2017-139486,2019-04-15,2017-05-23
US-2017-139486,2019-04-16,2017-05-23
CA-2016-158792,2019-04-17,2017-01-02
CA-2018-113558,2019-04-18,2018-10-26
CA-2018-113558,2019-04-19,2018-10-26
US-2016-138303,2019-04-20,2016-09-07
US-2016-138303,2019-04-21,2016-09-07
US-2016-138303,2019-04-22,2016-09-07
CA-2016-102848,2019-04-23,2016-11-09
US-2018-129441,2019-04-24,2018-09-11
CA-2017-168753,2019-04-25,2017-06-01
CA-2017-168753,2019-04-26,2017-06-01
CA-2017-126613,2019-04-27,2017-07-16
US-2018-122637,2019-04-28,2018-09-08
CA-2016-147851,2019-04-29,2016-12-08
CA-2016-134894,2019-04-30,2016-12-11
CA-2016-134894,2019-05-01,2016-12-11
CA-2015-140795,2019-05-02,2015-02-03
CA-2017-136924,2019-05-03,2017-07-17
US-2016-120161,2019-05-04,2016-12-23
CA-2015-103849,2019-05-05,2015-05-16
CA-2015-103849,2019-05-06,2015-05-16
CA-2015-103849,2019-05-07,2015-05-16
CA-2018-162929,2019-05-08,2018-11-22
CA-2018-162929,2019-05-09,2018-11-22
CA-2016-113173,2019-05-10,2016-11-17
CA-2016-113173,2019-05-11,2016-11-17
CA-2016-113173,2019-05-12,2016-11-17
CA-2017-136406,2019-05-13,2017-04-17
CA-2018-112774,2019-05-14,2018-09-12
CA-2018-101945,2019-05-15,2018-11-28
CA-2018-100650,2019-05-16,2018-07-03
CA-2015-155852,2019-05-17,2015-03-07
CA-2017-113243,2019-05-18,2017-06-15
CA-2017-113243,2019-05-19,2017-06-15
CA-2017-113243,2019-05-20,2017-06-15
CA-2018-118731,2019-05-21,2018-11-22
CA-2018-118731,2019-05-22,2018-11-22
CA-2015-145576,2019-05-23,2015-09-18
CA-2015-145576,2019-05-24,2015-09-18
CA-2016-130736,2019-05-25,2016-12-09
CA-2016-130736,2019-05-26,2016-12-09
CA-2018-137099,2019-05-27,2018-12-10
CA-2018-156951,2019-05-28,2018-10-08
CA-2018-156951,2019-05-29,2018-10-08
CA-2018-156951,2019-05-30,2018-10-08
CA-2018-156951,2019-05-31,2018-10-08
CA-2018-164826,2019-06-01,2019-01-04
CA-2018-164826,2019-06-02,2019-01-04
CA-2018-164826,2019-06-03,2019-01-04
CA-2018-164826,2019-06-04,2019-01-04
CA-2017-127250,2019-06-05,2017-11-07
CA-2016-149713,2019-06-06,2016-09-22
CA-2016-149713,2019-06-07,2016-09-22
CA-2016-149713,2019-06-08,2016-09-22
CA-2018-118640,2019-06-09,2018-07-26
CA-2018-118640,2019-06-10,2018-07-26
CA-2016-132906,2019-06-11,2016-09-14
CA-2018-145233,2019-06-12,2018-12-05
CA-2018-145233,2019-06-13,2018-12-05
CA-2018-145233,2019-06-14,2018-12-05
CA-2018-145233,2019-06-15,2018-12-05
CA-2018-145233,2019-06-16,2018-12-05
CA-2016-128139,2019-06-17,2016-07-09
CA-2016-128139,2019-06-18,2016-07-09
US-2017-156986,2019-06-19,2017-03-24
US-2017-156986,2019-06-20,2017-03-24
US-2017-156986,2019-06-21,2017-03-24
US-2017-156986,2019-06-22,2017-03-24
CA-2015-135405,2019-06-23,2015-01-13
CA-2015-135405,2019-06-24,2015-01-13
CA-2015-131450,2019-06-25,2015-08-15
CA-2015-131450,2019-06-26,2015-08-15
CA-2015-131450,2019-06-27,2015-08-15
CA-2015-131450,2019-06-28,2015-08-15
CA-2017-120180,2019-06-29,2017-07-16
US-2017-100720,2019-06-30,2017-07-21
US-2017-100720,2019-07-01,2017-07-21
US-2017-100720,2019-07-02,2017-07-21
CA-2015-149958,2019-07-03,2015-03-19
CA-2015-149958,2019-07-04,2015-03-19
CA-2015-149958,2019-07-05,2015-03-19
CA-2015-149958,2019-07-06,2015-03-19
CA-2015-149958,2019-07-07,2015-03-19
US-2015-105767,2019-07-08,2015-05-27
US-2015-105767,2019-07-09,2015-05-27
US-2015-105767,2019-07-10,2015-05-27
CA-2017-161816,2019-07-11,2017-05-01
CA-2017-161816,2019-07-12,2017-05-01
