Name,Maths,Science,English
Student_102,74,64,76
Student_103,96,94,70
Student_104,98,69,99
Student_105,97,96,76
Student_106,75,73,73
Student_107,89,99,64
Student_108,95,79,59
Student_109,63,94,59
Student_110,81,96,67
Student_111,79,67,59
Student_112,56,71,97
Student_113,77,59,53
Student_114,93,80,96
Student_115,82,67,92
Student_116,57,55,87
Student_117,90,76,75
Student_118,94,99,79
Student_119,69,77,88
Student_120,70,88,98
Student_121,95,82,89
Student_122,83,90,61
Student_123,75,69,73
Student_124,68,83,94
Student_125,53,68,98
Student_126,92,95,68
Student_127,97,61,78
Student_128,62,96,84
Student_129,63,85,97
Student_130,82,70,93
Student_131,50,74,52
Student_132,50,68,89
Student_133,60,84,82
Student_134,89,66,60
Student_135,79,99,74
Student_136,93,50,98
Student_137,63,60,89
Student_138,71,99,89
Student_139,61,68,53
Student_140,83,90,77
Student_141,97,97,74
Student_142,81,57,50
Student_143,69,58,96
Student_144,61,75,59
Student_145,73,60,82
Student_146,59,87,87
Student_147,97,88,75
Student_148,67,82,51
Student_149,85,99,82
Student_150,79,81,69
Student_151,81,55,52
Student_152,90,76,82
Student_153,63,63,74
Student_154,59,52,69
Student_155,86,61,84
Student_156,91,68,97
Student_157,56,64,100
Student_158,60,98,74
Student_159,54,100,70
Student_160,95,75,98
Student_161,63,97,62
Student_162,85,67,78
Student_163,66,63,59
Student_164,85,91,71
Student_165,79,65,75
Student_166,99,70,82
Student_167,82,85,53
Student_168,75,99,53
Student_169,61,91,62
Student_170,50,66,52
Student_171,99,55,80
Student_172,55,92,66
Student_173,83,92,65
Student_174,64,84,84
Student_175,75,77,83
Student_176,72,83,55
Student_177,73,51,97
Student_178,84,96,67
Student_179,78,69,83
Student_180,52,93,88
Student_181,57,75,56
Student_182,71,92,83
Student_183,82,61,88
Student_184,61,76,92
Student_185,52,84,70
Student_186,73,75,50
Student_187,67,98,83
Student_188,96,81,82
Student_189,51,58,70
Student_190,89,66,79
Student_191,81,90,51
Student_192,63,55,71
Student_193,59,73,59
Student_194,57,75,61
Student_195,75,98,91
Student_196,62,85,61
Student_197,55,78,81
Student_198,58,74,61
Student_199,71,54,56
Student_200,53,89,69
Student_201,81,58,70
Student_202,67,74,85
Student_203,56,65,57
Student_204,70,81,59
Student_205,55,76,71
Student_206,78,95,64
Student_207,90,94,57
Student_208,52,97,95
Student_209,65,85,93
Student_210,67,100,72
Student_211,92,96,83
Student_212,100,76,93
Student_213,84,75,70
Student_214,66,96,86
Student_215,60,60,91
Student_216,58,90,95
Student_217,95,82,99
Student_218,75,82,69
Student_219,77,51,97
Student_220,56,54,78
Student_221,51,94,74
Student_222,58,79,64
Student_223,79,70,100
Student_224,59,70,80
Student_225,82,52,69
Student_226,81,60,76
Student_227,58,87,55
Student_228,85,64,51
Student_229,76,83,68
Student_230,83,62,74
Student_231,63,83,84
Student_232,86,62,71
Student_233,74,56,52
Student_234,100,67,77
Student_235,76,93,58
Student_236,81,63,78
Student_237,91,70,93
Student_238,99,76,50
Student_239,81,62,69
Student_240,89,91,67
Student_241,89,99,55
Student_242,73,72,71
Student_243,84,89,81
Student_244,68,93,99
Student_245,58,66,62
Student_246,89,70,73
Student_247,92,77,81
Student_248,74,59,82
Student_249,91,99,90
Student_250,70,75,92
Student_251,81,88,64
Student_252,94,67,77
Student_253,59,55,98
Student_254,89,75,75
Student_255,71,50,97
Student_256,65,79,55
Student_257,89,76,71
Student_258,91,70,65
Student_259,73,51,96
Student_260,70,75,60
Student_261,100,69,56
Student_262,65,66,52
Student_263,56,73,82
Student_264,57,73,79
Student_265,74,70,100
Student_266,55,80,97
Student_267,80,100,66
Student_268,57,65,78
Student_269,57,72,70
Student_270,70,56,55
Student_271,85,69,92
Student_272,55,95,88
Student_273,57,68,92
Student_274,70,100,95
Student_275,71,95,67
Student_276,77,93,60
Student_277,55,77,62
Student_278,56,71,64
Student_279,73,66,82
Student_280,50,63,63
Student_281,69,97,99
Student_282,90,53,88
Student_283,98,90,75
Student_284,83,75,89
Student_285,93,75,72
Student_286,98,65,91
Student_287,76,79,62
Student_288,80,82,85
Student_289,54,74,72
Student_290,52,63,54
Student_291,50,98,59
Student_292,81,71,84
Student_293,64,92,50
Student_294,87,68,83
Student_295,64,74,85
Student_296,57,86,71
Student_297,50,79,64
Student_298,94,97,90
Student_299,52,98,86
Student_300,80,80,92
Student_301,57,87,57
Student_302,76,50,63
Student_303,59,86,57
Student_304,56,93,56
Student_305,57,72,67
Student_306,69,50,87
Student_307,50,57,94
Student_308,76,93,68
Student_309,51,56,63
Student_310,92,71,81
Student_311,66,80,58
Student_312,51,64,95
Student_313,91,67,67
Student_314,86,94,63
Student_315,69,90,68
Student_316,84,70,63
Student_317,65,80,76
Student_318,66,70,95
Student_319,59,99,84
Student_320,88,67,67
Student_321,78,79,59
Student_322,60,98,56
Student_323,81,91,70
Student_324,70,84,52
Student_325,95,86,65
Student_326,76,75,76
Student_327,92,88,56
Student_328,51,75,99
Student_329,64,100,60
Student_330,61,98,60
Student_331,93,91,97
Student_332,73,85,53
Student_333,59,78,87
Student_334,67,93,77
Student_335,64,92,92
Student_336,71,62,99
Student_337,56,54,85
Student_338,98,92,70
Student_339,90,56,53
Student_340,88,53,55
Student_341,51,89,96
Student_342,55,87,90
Student_343,54,91,71
Student_344,88,50,86
Student_345,90,60,84
Student_346,65,85,82
Student_347,88,88,68
Student_348,92,94,76
Student_349,91,51,61
Student_350,60,95,69
Student_351,89,90,93
Student_352,74,98,88
Student_353,52,63,70
Student_354,90,67,74
Student_355,75,93,77
Student_356,100,90,95
Student_357,59,100,52
Student_358,74,54,81
Student_359,100,84,75
Student_360,85,73,93
Student_361,99,93,95
Student_362,72,50,80
Student_363,73,54,90
Student_364,56,85,96
Student_365,89,55,97
Student_366,96,83,70
Student_367,83,87,85
Student_368,86,72,67
Student_369,65,99,77
Student_370,84,54,87
Student_371,70,76,84
Student_372,89,80,97
Student_373,59,85,66
Student_374,73,81,79
Student_375,83,64,97
Student_376,94,57,55
Student_377,95,54,97
Student_378,67,53,91
Student_379,61,64,73
Student_380,68,88,88
Student_381,62,98,69
Student_382,68,79,81
Student_383,88,74,69
Student_384,100,98,52
Student_385,86,73,72
Student_386,96,77,89
Student_387,77,69,67
Student_388,54,96,60
Student_389,56,76,66
Student_390,79,61,55
Student_391,79,78,88
Student_392,100,91,84
Student_393,72,95,79
Student_394,85,53,64
Student_395,78,54,93
Student_396,50,90,58
Student_397,66,64,50
Student_398,54,65,91
Student_399,78,68,91
Student_400,53,84,73
Student_401,64,81,72
Student_402,94,90,55
Student_403,95,77,76
Student_404,61,64,65
Student_405,70,91,95
Student_406,55,87,92
Student_407,75,52,78
Student_408,80,62,62
Student_409,52,82,55
Student_410,62,84,75
Student_411,86,97,56
Student_412,58,87,76
Student_413,55,84,94
Student_414,58,74,90
Student_415,56,72,80
Student_416,63,91,56
Student_417,99,75,83
Student_418,52,59,76
Student_419,70,51,57
Student_420,64,54,93
Student_421,67,100,72
Student_422,56,86,65
Student_423,79,69,50
Student_424,94,93,56
Student_425,66,60,79
Student_426,52,80,65
Student_427,100,71,87
Student_428,97,79,58
Student_429,86,74,81
Student_430,84,81,64
Student_431,61,65,80
Student_432,98,93,69
Student_433,97,66,96
Student_434,69,55,84
Student_435,65,50,60
Student_436,51,75,94
Student_437,92,53,59
Student_438,77,90,100
Student_439,100,63,83
Student_440,92,57,94
Student_441,70,51,75
Student_442,72,70,91
Student_443,80,93,99
Student_444,83,88,93
Student_445,61,60,80
Student_446,87,60,70
Student_447,87,65,83
Student_448,59,68,93
Student_449,56,82,82
Student_450,74,51,82
Student_451,81,54,57
Student_452,93,72,80
Student_453,79,50,68
Student_454,79,53,90
Student_455,52,70,63
Student_456,55,66,74
Student_457,93,76,91
Student_458,88,60,53
Student_459,81,59,68
Student_460,52,75,81
Student_461,63,87,90
Student_462,74,93,82
Student_463,81,94,99
Student_464,98,60,78
Student_465,91,90,82
Student_466,83,67,84
Student_467,51,77,58
Student_468,63,88,100
Student_469,56,72,76
Student_470,88,81,82
Student_471,83,100,90
Student_472,92,94,67
Student_473,53,95,50
Student_474,94,93,90
Student_475,70,53,97
Student_476,90,71,93
Student_477,90,56,52
Student_478,82,84,87
Student_479,99,71,63
Student_480,53,80,85
Student_481,70,99,56
Student_482,54,79,64
Student_483,64,95,100
Student_484,52,95,90
Student_485,74,93,85
Student_486,75,85,73
Student_487,60,95,92
Student_488,83,88,76
Student_489,87,72,55
Student_490,100,60,58
Student_491,56,96,62
Student_492,79,99,98
Student_493,95,87,81
Student_494,77,90,87
Student_495,50,50,65
Student_496,54,74,64
Student_497,71,94,67
Student_498,95,71,66
Student_499,82,86,91
Student_500,95,78,82
Student_501,87,85,53
Student_502,58,94,89
Student_503,88,92,60
Student_504,79,90,53
Student_505,70,92,71
Student_506,51,50,52
Student_507,88,50,83
Student_508,78,60,76
Student_509,63,58,79
Student_510,77,72,65
Student_511,89,69,87
Student_512,65,76,90
Student_513,91,76,92
Student_514,77,77,71
Student_515,56,59,55
Student_516,80,52,60
Student_517,72,88,62
Student_518,54,84,100
Student_519,82,50,55
Student_520,62,97,52
Student_521,89,52,94
Student_522,57,71,75
Student_523,50,79,95
Student_524,86,67,67
Student_525,91,92,56
Student_526,91,60,66
Student_527,63,69,93
Student_528,98,97,63
Student_529,81,92,66
Student_530,95,95,51
Student_531,76,90,86
Student_532,68,63,81
Student_533,51,82,79
Student_534,52,61,51
Student_535,73,89,51
Student_536,88,69,87
Student_537,82,84,57
Student_538,61,89,71
Student_539,69,63,81
Student_540,70,98,99
Student_541,100,96,78
Student_542,90,82,93
Student_543,76,77,74
Student_544,54,71,54
Student_545,59,80,80
Student_546,90,98,99
Student_547,91,75,93
Student_548,90,82,59
Student_549,56,57,53
Student_550,51,98,96
Student_551,62,71,86
Student_552,76,58,80
Student_553,86,97,79
Student_554,73,90,54
Student_555,53,63,55
Student_556,73,85,91
Student_557,73,96,90
Student_558,85,80,71
Student_559,73,63,69
Student_560,61,95,58
Student_561,70,66,55
Student_562,52,96,60
Student_563,55,59,66
Student_564,72,79,88
Student_565,91,64,52
Student_566,76,84,69
Student_567,56,85,72
Student_568,82,53,84
Student_569,73,90,90
Student_570,78,70,67
Student_571,84,90,62
Student_572,92,62,68
Student_573,70,70,88
Student_574,86,76,79
Student_575,92,95,81
Student_576,71,92,64
Student_577,63,94,51
Student_578,74,77,55
Student_579,82,83,96
Student_580,92,69,79
Student_581,59,60,97
Student_582,52,80,56
Student_583,68,50,52
Student_584,50,95,80
Student_585,75,69,80
Student_586,67,50,60
Student_587,89,63,64
Student_588,84,62,97
Student_589,56,91,96
Student_590,64,56,57
Student_591,73,72,56
Student_592,69,66,99
Student_593,81,70,95
Student_594,86,51,56
Student_595,57,58,64
Student_596,90,96,94
Student_597,89,96,62
Student_598,80,96,50
Student_599,83,68,56
Student_600,98,82,74
Student_601,93,92,80
Student_602,94,77,61
Student_603,50,63,60
Student_604,89,96,54
Student_605,91,60,64
Student_606,57,69,86
Student_607,64,62,75
Student_608,56,67,57
Student_609,88,54,51
Student_610,52,60,89
Student_611,60,61,93
Student_612,89,54,66
Student_613,67,77,70
Student_614,55,88,78
Student_615,59,80,80
Student_616,57,83,54
Student_617,78,89,60
Student_618,85,65,69
Student_619,65,51,90
Student_620,99,63,54
Student_621,62,100,83
Student_622,59,87,87
Student_623,62,68,89
Student_624,57,60,100
Student_625,56,87,56
Student_626,86,66,59
Student_627,84,57,85
Student_628,97,69,91
Student_629,65,53,54
Student_630,88,65,94
Student_631,78,96,65
Student_632,83,67,68
Student_633,81,85,69
Student_634,95,72,51
Student_635,55,91,96
Student_636,92,63,52
Student_637,75,65,90
Student_638,85,57,94
Student_639,75,58,62
Student_640,94,87,56
Student_641,76,81,64
Student_642,53,95,53
Student_643,50,71,95
Student_644,76,71,73
Student_645,66,68,56
Student_646,92,62,55
Student_647,100,92,79
Student_648,70,76,69
Student_649,88,97,52
Student_650,54,95,94
Student_651,59,57,78
Student_652,62,93,76
Student_653,67,65,94
Student_654,53,87,100
Student_655,81,92,67
Student_656,64,87,97
Student_657,66,93,97
Student_658,63,78,63
Student_659,80,71,56
Student_660,98,89,82
Student_661,54,99,77
Student_662,69,73,58
Student_663,67,72,66
Student_664,72,79,79
Student_665,52,79,94
Student_666,83,53,85
Student_667,99,97,67
Student_668,95,68,56
Student_669,68,93,50
Student_670,100,57,93
Student_671,76,85,61
Student_672,64,66,59
Student_673,96,63,97
Student_674,89,52,83
Student_675,61,68,55
Student_676,91,74,52
Student_677,90,63,52
Student_678,94,90,84
Student_679,93,67,91
Student_680,56,75,69
Student_681,73,85,51
Student_682,83,55,90
Student_683,69,74,52
Student_684,92,66,61
Student_685,67,82,78
Student_686,100,93,57
Student_687,63,59,92
Student_688,77,65,68
Student_689,93,82,80
Student_690,67,89,97
Student_691,86,68,81
Student_692,85,56,96
Student_693,81,78,94
Student_694,60,55,61
Student_695,99,92,82
Student_696,63,89,76
Student_697,100,97,50
Student_698,77,66,98
Student_699,77,80,59
Student_700,88,59,66
Student_701,64,52,70
Student_702,89,94,56
Student_703,74,71,67
Student_704,56,91,51
Student_705,51,74,52
Student_706,64,71,58
Student_707,90,86,83
Student_708,62,87,55
Student_709,96,75,72
Student_710,68,72,61
Student_711,84,93,72
Student_712,68,82,88
Student_713,88,80,100
Student_714,88,74,53
Student_715,85,72,59
Student_716,67,54,65
Student_717,95,78,95
Student_718,74,69,77
Student_719,81,57,93
Student_720,87,74,86
Student_721,75,59,54
Student_722,87,100,79
Student_723,50,54,59
Student_724,55,53,68
Student_725,67,95,66
Student_726,69,83,60
Student_727,67,70,70
Student_728,96,53,60
Student_729,89,91,95
Student_730,63,79,72
Student_731,73,75,54
Student_732,79,51,64
Student_733,99,79,89
Student_734,66,97,81
Student_735,71,86,86
Student_736,64,96,57
Student_737,58,88,53
Student_738,98,54,83
Student_739,56,97,67
Student_740,60,67,83
Student_741,98,58,55
Student_742,57,62,58
Student_743,61,94,58
Student_744,74,69,62
Student_745,86,92,68
Student_746,62,56,59
Student_747,55,59,60
Student_748,59,68,67
Student_749,76,73,100
Student_750,50,72,91
Student_751,83,57,82
Student_752,72,63,65
Student_753,67,96,63
Student_754,54,95,88
Student_755,56,56,76
Student_756,91,94,92
Student_757,99,95,66
Student_758,69,88,87
Student_759,71,90,91
Student_760,63,80,81
Student_761,97,59,68
Student_762,64,52,90
Student_763,50,99,66
Student_764,60,84,76
Student_765,97,62,97
Student_766,60,71,98
Student_767,75,52,81
Student_768,53,99,96
Student_769,79,70,70
Student_770,63,73,98
Student_771,87,75,53
Student_772,52,91,60
Student_773,59,95,74
Student_774,67,64,80
Student_775,61,99,75
Student_776,71,85,99
Student_777,55,60,59
Student_778,67,68,83
Student_779,58,57,52
Student_780,94,98,82
Student_781,63,76,62
Student_782,67,76,96
Student_783,70,80,84
Student_784,100,69,77
Student_785,69,60,71
Student_786,60,62,67
Student_787,73,77,50
Student_788,56,56,92
Student_789,97,70,75
Student_790,63,64,86
Student_791,97,94,66
Student_792,94,81,80
Student_793,91,98,55
Student_794,97,80,94
Student_795,79,86,90
Student_796,86,93,87
Student_797,74,78,55
Student_798,79,55,66
Student_799,77,65,51
Student_800,65,63,51
Student_801,67,77,78
Student_802,83,85,82
Student_803,83,67,90
Student_804,85,63,94
Student_805,66,51,60
Student_806,74,53,55
Student_807,88,100,66
Student_808,66,63,74
Student_809,77,97,90
Student_810,61,65,67
Student_811,56,53,78
Student_812,71,91,77
Student_813,95,51,99
Student_814,73,74,56
Student_815,86,66,75
Student_816,78,67,64
Student_817,58,64,64
Student_818,83,66,79
Student_819,95,78,91
Student_820,66,95,70
Student_821,62,80,64
Student_822,57,83,87
Student_823,79,52,89
Student_824,83,92,50
Student_825,100,91,71
Student_826,99,54,92
Student_827,83,57,77
Student_828,50,82,99
Student_829,59,93,77
Student_830,52,92,65
Student_831,55,59,76
Student_832,92,80,92
Student_833,56,66,67
Student_834,60,53,85
Student_835,66,61,60
Student_836,62,99,65
Student_837,74,50,92
Student_838,85,82,89
Student_839,98,100,51
Student_840,69,57,62
Student_841,51,81,74
Student_842,66,66,75
Student_843,94,54,88
Student_844,82,60,96
Student_845,53,80,81
Student_846,86,66,84
Student_847,98,69,81
Student_848,50,68,99
Student_849,80,98,65
Student_850,63,70,87
Student_851,61,79,100
Student_852,68,65,55
Student_853,56,100,70
Student_854,82,55,64
Student_855,58,78,79
Student_856,93,93,74
Student_857,96,74,55
Student_858,84,71,57
Student_859,96,53,67
Student_860,84,73,57
Student_861,95,88,86
Student_862,95,86,94
Student_863,70,82,53
Student_864,75,61,92
Student_865,98,70,62
Student_866,72,90,55
Student_867,54,77,69
Student_868,62,56,54
Student_869,93,94,89
Student_870,56,79,60
Student_871,57,72,55
Student_872,71,97,74
Student_873,59,79,71
Student_874,84,62,95
Student_875,92,78,75
Student_876,59,58,72
Student_877,64,54,82
Student_878,65,100,79
Student_879,60,71,96
Student_880,52,77,71
Student_881,54,88,52
Student_882,88,77,62
Student_883,89,56,84
Student_884,51,53,93
Student_885,73,64,74
Student_886,87,75,74
Student_887,57,55,87
Student_888,68,69,96
Student_889,84,84,58
Student_890,66,65,84
Student_891,63,52,66
Student_892,60,73,96
Student_893,60,68,83
Student_894,54,89,89
Student_895,72,62,62
Student_896,92,91,73
Student_897,87,50,94
Student_898,63,53,93
Student_899,55,91,87
Student_900,95,72,92
Student_901,53,50,97
Student_902,62,90,64
Student_903,94,60,83
Student_904,67,60,92
Student_905,91,90,85
Student_906,71,78,57
Student_907,81,97,55
Student_908,69,99,58
Student_909,66,79,63
Student_910,97,95,53
Student_911,86,80,61
Student_912,75,89,58
Student_913,87,54,98
Student_914,66,83,92
Student_915,63,70,90
Student_916,82,77,82
Student_917,62,76,75
Student_918,97,97,77
Student_919,81,79,74
Student_920,51,50,55
Student_921,76,56,69
Student_922,81,95,94
Student_923,71,51,53
Student_924,99,91,76
Student_925,58,57,83
Student_926,80,78,66
Student_927,81,85,100
Student_928,75,98,83
Student_929,69,86,58
Student_930,67,99,91
Student_931,87,78,60
Student_932,62,90,79
Student_933,72,55,58
Student_934,68,99,62
Student_935,100,66,50
Student_936,73,78,68
Student_937,81,81,68
Student_938,72,82,65
Student_939,51,57,79
Student_940,89,90,89
Student_941,69,70,100
Student_942,78,83,84
Student_943,90,77,51
Student_944,58,86,82
Student_945,70,50,60
Student_946,85,71,83
Student_947,82,76,50
Student_948,80,75,95
Student_949,90,80,51
Student_950,88,68,57
Student_951,56,64,94
Student_952,53,80,87
Student_953,64,53,67
Student_954,83,50,91
Student_955,58,66,77
Student_956,61,77,91
Student_957,61,90,72
Student_958,58,61,84
Student_959,82,78,90
Student_960,78,55,87
Student_961,77,74,53
Student_962,83,94,60
Student_963,59,58,58
Student_964,68,65,52
Student_965,70,86,59
Student_966,59,75,88
Student_967,79,66,84
Student_968,51,98,73
Student_969,86,85,80
Student_970,74,72,71
Student_971,53,69,86
Student_972,63,89,88
Student_973,71,64,83
Student_974,61,62,93
Student_975,51,68,73
Student_976,86,81,78
Student_977,99,91,72
Student_978,67,53,60
Student_979,86,51,89
Student_980,67,64,82
Student_981,99,81,65
Student_982,59,62,81
Student_983,68,90,73
Student_984,63,68,74
Student_985,84,74,76
Student_986,77,91,81
Student_987,55,78,75
Student_988,63,82,63
Student_989,67,91,95
Student_990,99,51,98
Student_991,88,97,88
Student_992,88,51,73
Student_993,74,100,63
Student_994,67,92,90
Student_995,56,62,88
Student_996,54,50,83
Student_997,53,52,79
Student_998,83,95,82
Student_999,67,65,79
Student_1000,94,80,86
Student_1001,75,84,74
Student_1002,77,65,81
Student_1003,60,81,99
Student_1004,91,53,59
Student_1005,53,68,92
Student_1006,69,54,89
Student_1007,66,95,83
Student_1008,69,90,80
Student_1009,71,58,51
Student_1010,86,69,55
Student_1011,96,51,97
Student_1012,72,77,59
Student_1013,51,80,82
Student_1014,98,89,55
Student_1015,50,86,92
Student_1016,75,96,63
Student_1017,75,59,53
Student_1018,86,78,61
Student_1019,78,92,50
Student_1020,53,89,54
Student_1021,59,64,67
Student_1022,61,98,88
Student_1023,64,98,63
Student_1024,74,92,52
Student_1025,60,58,73
Student_1026,69,88,51
Student_1027,55,73,100
Student_1028,51,51,95
Student_1029,62,63,79
Student_1030,58,84,64
Student_1031,87,82,56
Student_1032,69,58,77
Student_1033,75,67,84
Student_1034,89,88,66
Student_1035,90,71,80
Student_1036,68,89,62
Student_1037,95,89,75
Student_1038,56,50,91
Student_1039,93,55,52
Student_1040,59,91,66
Student_1041,88,88,67
Student_1042,61,53,53
Student_1043,86,85,68
Student_1044,73,75,88
Student_1045,80,62,84
Student_1046,96,50,82
Student_1047,74,77,59
Student_1048,84,69,55
Student_1049,76,53,92
Student_1050,53,58,89
Student_1051,78,82,57
Student_1052,71,64,87
Student_1053,64,96,57
Student_1054,67,68,91
Student_1055,99,60,84
Student_1056,69,61,99
Student_1057,71,95,87
Student_1058,78,59,80
Student_1059,87,85,97
Student_1060,72,94,99
Student_1061,68,96,61
Student_1062,91,89,76
Student_1063,52,58,70
Student_1064,67,71,76
Student_1065,91,100,56
Student_1066,68,60,92
Student_1067,72,52,83
Student_1068,99,86,90
Student_1069,52,62,93
Student_1070,85,60,61
Student_1071,77,88,85
Student_1072,55,91,90
Student_1073,68,87,96
Student_1074,99,63,84
Student_1075,95,51,56
Student_1076,62,92,61
Student_1077,80,69,60
Student_1078,64,88,68
Student_1079,68,96,52
Student_1080,66,95,71
Student_1081,67,81,73
Student_1082,93,76,100
Student_1083,90,58,82
Student_1084,62,100,69
Student_1085,77,70,81
Student_1086,62,98,77
Student_1087,60,87,55
Student_1088,89,68,85
Student_1089,58,52,73
Student_1090,57,86,83
Student_1091,88,53,69
Student_1092,60,73,77
Student_1093,90,71,76
Student_1094,55,93,88
Student_1095,99,73,60
Student_1096,74,73,68
Student_1097,54,54,56
Student_1098,84,57,84
Student_1099,95,56,83
Student_1100,64,99,60
Student_1101,60,52,77
Student_1102,95,84,59
Student_1103,76,50,55
Student_1104,99,56,56
Student_1105,68,73,54
Student_1106,99,70,67
Student_1107,58,51,71
Student_1108,54,99,70
Student_1109,77,81,87
Student_1110,55,87,84
Student_1111,98,62,72
Student_1112,93,59,59
Student_1113,54,80,81
Student_1114,65,59,66
Student_1115,71,88,70
Student_1116,90,91,84
Student_1117,82,56,57
Student_1118,81,80,60
Student_1119,72,58,81
Student_1120,91,55,58
Student_1121,92,62,72
Student_1122,66,65,50
Student_1123,67,60,88
Student_1124,94,53,86
Student_1125,66,78,54
Student_1126,67,100,50
Student_1127,78,51,84
Student_1128,57,89,91
Student_1129,87,90,70
Student_1130,86,52,99
Student_1131,61,90,61
Student_1132,93,92,65
Student_1133,71,96,84
Student_1134,58,82,85
Student_1135,86,59,57
Student_1136,82,53,79
Student_1137,94,77,80
Student_1138,64,94,65
Student_1139,70,72,60
Student_1140,88,89,89
Student_1141,65,85,82
Student_1142,50,74,81
Student_1143,57,75,100
Student_1144,53,87,95
Student_1145,58,92,87
Student_1146,61,94,81
Student_1147,72,59,87
Student_1148,87,99,65
Student_1149,67,83,76
Student_1150,59,66,73
Student_1151,81,59,50
Student_1152,92,99,65
Student_1153,66,85,72
Student_1154,81,94,89
Student_1155,74,73,65
Student_1156,60,85,98
Student_1157,98,85,87
Student_1158,72,84,81
Student_1159,79,98,60
Student_1160,99,59,65
Student_1161,57,68,55
Student_1162,52,64,100
Student_1163,59,72,59
Student_1164,73,81,68
Student_1165,64,100,95
Student_1166,84,84,100
Student_1167,54,74,58
Student_1168,66,57,96
Student_1169,71,90,72
Student_1170,73,62,86
Student_1171,83,68,85
Student_1172,82,72,94
Student_1173,91,71,88
Student_1174,94,74,53
Student_1175,99,74,64
Student_1176,57,66,62
Student_1177,55,94,54
Student_1178,92,68,70
Student_1179,93,92,71
Student_1180,92,83,88
Student_1181,94,87,71
Student_1182,89,79,94
Student_1183,75,56,94
Student_1184,56,75,100
Student_1185,96,68,82
Student_1186,83,54,53
Student_1187,54,62,72
Student_1188,95,85,54
Student_1189,66,76,82
Student_1190,70,89,60
Student_1191,100,96,63
Student_1192,73,84,62
Student_1193,55,54,95
Student_1194,81,87,62
Student_1195,79,83,73
Student_1196,71,83,55
Student_1197,89,94,86
Student_1198,72,93,75
Student_1199,72,63,61
Student_1200,61,50,59
Student_1201,100,70,60
Student_1202,61,55,70
Student_1203,95,76,52
Student_1204,78,78,92
Student_1205,58,77,53
Student_1206,58,58,71
Student_1207,79,79,89
Student_1208,56,55,87
Student_1209,85,62,97
Student_1210,100,56,76
Student_1211,83,92,50
Student_1212,85,65,80
Student_1213,53,84,69
Student_1214,76,66,99
Student_1215,71,97,99
Student_1216,96,97,80
Student_1217,93,73,69
Student_1218,65,92,88
Student_1219,92,87,50
Student_1220,72,63,70
Student_1221,76,91,68
Student_1222,78,63,90
Student_1223,62,72,66
Student_1224,68,71,87
Student_1225,72,92,68
Student_1226,82,82,55
Student_1227,88,93,89
Student_1228,83,68,99
Student_1229,76,67,74
Student_1230,87,70,56
Student_1231,90,91,94
Student_1232,92,87,66
Student_1233,58,85,96
Student_1234,79,60,58
Student_1235,60,71,53
Student_1236,58,82,97
Student_1237,53,93,92
Student_1238,83,86,57
Student_1239,52,100,88
Student_1240,50,95,91
Student_1241,62,75,87
Student_1242,54,61,99
Student_1243,82,77,99
Student_1244,98,80,67
Student_1245,50,82,85
Student_1246,88,51,51
Student_1247,100,72,59
